"";"Inbreed_Factor";"Generation"
"M16-491";0;0
"M16-492";0;0
"M16-493";0;0
"M16-494";0;0
"M16-495";0;0
"M17-16";0;1
"M17-17";0;1
"M17-18";0;1
"M17-19";0;1
"M17-20";0;1
"M17-21";0;1
"M17-22";0;1
"M17-23";0;1
"M17-24";0;1
"M17-39";0;1
"M17-40";0;1
"M17-41";0;1
"M17-42";0;1
"M17-43";0;1
"M17-44";0;1
"M17-45";0;1
"M17-46";0;1
"M17-47";0;1
"M17-48";0;1
"M17-49";0;1
"M17-50";0;1
"M17-51";0;1
"M17-52";0;1
"M17-53";0;1
"M17-54";0;1
"M17-55";0;1
"M17-56";0;1
"M17-57";0;1
"M17-58";0;1
"M17-59";0;1
"M17-60";0;1
"M17-84B";0;1
"M17-85B";0;1
"M17-86B";0;1
"M17-87";0;1
"M17-88";0;1
"M17-89";0;1
"M17-90";0;1
"M17-91";0;1
"M17-92";0;1
"M17-93";0;1
"M17-94";0;1
"M17-95";0;1
"M17-96";0;1
"M17-114";0;1
"M17-115";0;1
"M17-116";0;1
"M17-117";0;1
"M17-118";0;1
"M17-119";0;1
"M17-120";0;1
"M17-121";0;1
"M17-122";0;1
"M17-152";0;1
"M17-153";0;1
"M17-154";0;1
"M17-155";0;1
"M17-156";0;1
"M17-157";0;1
"M17-158";0;1
"M17-159";0;1
"M17-189";0;1
"M17-190";0;1
"M17-191";0;1
"M17-192";0;1
"M17-193";0;1
"M17-194";0;1
"M17-195";0,25;2
"M17-196";0,25;2
"M17-197";0,25;2
"M17-198";0,25;2
"M17-199";0,25;2
"M17-200";0,25;2
"M17-201";0,25;2
"M17-214";0,25;2
"M17-215";0,25;2
"M17-216";0,25;2
"M17-217";0,25;2
"M17-218";0,25;2
"M17-219";0,25;2
"M17-220";0,25;2
"M17-221";0,25;2
"M17-222";0,25;2
"M17-223";0,25;2
"M17-224";0,25;2
"M17-225";0,25;2
"M17-226";0,25;2
"M17-227";0,25;2
"M17-228";0,25;2
"M17-229";0,25;2
"M17-230";0,25;2
